材料ID,品牌,车系,分析对象名称,车型价格范围,能源形式,车身形式,级别,座位数,来源类型,来源平台,地区,时间,年龄段,职业,家庭结构,是否已购,购车阶段,决策周期,主要决策人,决策影响人,用户原文,数据性质,拟定依据,参考来源标题,参考来源平台,参考来源URL
UM0047,小鹏,小鹏MONA L03,小鹏MONA L03,12.38-15.68万,纯电动/增程式插混,SUV,紧凑型,5座,访谈记录,公开网页评论整理,河南,2026-07,25-30岁,私营业主,商务+家庭兼用,已购,对比评估,1-2个月,本人+父母,孩子,我对小鹏MONA L03的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0048,小鹏,小鹏MONA L03,小鹏MONA L03,12.38-15.68万,纯电动/增程式插混,SUV,紧凑型,5座,问卷回答,公开问卷语料模拟,广东,2026-06,35-40岁,自由职业者,已婚未育,意向中,价格谈判,1个月内,本人+配偶,销售顾问,选车时把小鹏MONA L03和同价位竞品放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0049,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,传统燃料/常规混合动力,SUV,中型,5座,用户评论,车质网,上海,2026-07,30-35岁,私营业主,已婚二孩,未购,试驾体验,1-2个月,本人+父母,朋友/同事,看奥迪Q5L主要是因为品牌稳、商务场合不出错，后排空间和隔音确实有传统豪华车的底子。我也比较了奔驰GLC，奥迪的优惠和开起来的轻松感更吸引我，但车机智能化还是短板。,公开网页用户评论风格改写,奥迪A6L公开口碑中常见空间、隔音、底盘、豪华感和车机智能化、低速顿挫/维修等反馈。,奥迪A6L 车质网口碑,车质网,https://www.12365auto.com/review/1_0_0_1.shtml
UM0050,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,传统燃料/常规混合动力,SUV,中型,5座,访谈记录,销售反馈模拟,四川,2026-06,40-45岁,公务员/事业单位,已婚一孩,流失,已购复盘,1个月内,本人+配偶,无明显影响人,家里和公司都能用，所以我会优先考虑奥迪Q5L这种成熟车型。它的后排空间和底盘质感是优势，不过现在新能源车配置给得太满，和宝马X3比起来会觉得智能座舱不够新。,公开网页访谈记录风格改写,奥迪A6L公开口碑中常见空间、隔音、底盘、豪华感和车机智能化、低速顿挫/维修等反馈。,奥迪A6L 车质网口碑,车质网,https://www.12365auto.com/review/1_0_0_1.shtml
UM0051,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,传统燃料/常规混合动力,SUV,中型,5座,问卷回答,公开论坛/社区讨论,湖北,2026-05,50岁以上,私营业主,商务+家庭兼用,未购,初步了解,2周左右,本人,父母,我对奥迪Q5L的顾虑主要是后期维修保养和车机智能化，但是它的品牌认可度、乘坐体面感和售后体系比较稳。如果销售能把用车成本和保值解释清楚，我会更容易接受。,公开网页问卷回答风格改写,奥迪A6L公开口碑中常见空间、隔音、底盘、豪华感和车机智能化、低速顿挫/维修等反馈。,奥迪A6L 车质网口碑,车质网,https://www.12365auto.com/review/1_0_0_1.shtml
UM0052,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,传统燃料/常规混合动力,SUV,中型,5座,销售反馈,销售反馈模拟,江苏,2026-04,30-35岁,公务员/事业单位,已婚二孩,流失,试驾体验,1周内,公司/家庭共同使用者,朋友/同事,如果客户在奥迪Q5L和Model Y之间犹豫，我觉得不能只说品牌，还是要讲清楚后排、隔音、底盘和优惠后的真实成交价值。对商务用户来说，稳定和体面感很重要。,公开网页销售反馈风格改写,A6L网友印象中有豪华、科技感、大气、空间不错，以及烧机油、小毛病等负向印象。,奥迪A6L 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg4313/s48976/t3.0/
UM0053,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,传统燃料/常规混合动力,SUV,中型,5座,用户评论,太平洋汽车,山东,2026-08,40-45岁,私营业主,已婚一孩,未购,已购复盘,2个月以上,家庭共同决策,无明显影响人,试驾后我觉得奥迪Q5L的底盘质感比很多新势力更扎实，长途开起来轻松。只是车机响应和智能化功能确实没有那么讨喜，年轻用户可能会因此转向新能源竞品。,公开网页用户评论风格改写,A6L网友印象中有豪华、科技感、大气、空间不错，以及烧机油、小毛病等负向印象。,奥迪A6L 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg4313/s48976/t3.0/
UM0054,东风日产,日产NX8,日产NX8,15.99-20.99万,纯电动/增程式插混,SUV,中大型,5座,用户评论,车质网,河南,2026-07,25-30岁,私营业主,商务+家庭兼用,意向中,对比评估,1-2个月,本人+父母,孩子,关注日产NX8主要是因为通过性和家庭出行适配，价格在15.99-20.99万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0055,东风日产,日产NX8,日产NX8,15.99-20.99万,纯电动/增程式插混,SUV,中大型,5座,访谈记录,公开网页评论整理,广东,2026-06,35-40岁,自由职业者,已婚未育,已购,价格谈判,1个月内,本人+配偶,销售顾问,我对日产NX8的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0056,东风日产,日产NX8,日产NX8,15.99-20.99万,纯电动/增程式插混,SUV,中大型,5座,问卷回答,公开问卷语料模拟,浙江,2026-05,45-50岁,公务员/事业单位,已婚二孩,意向中,流失反馈,2周左右,本人,配偶,选车时把日产NX8和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0057,上汽通用五菱,宏光MINIEV,宏光MINIEV,3.58-5.58万,纯电动,轿车,微型,4座,用户评论,车质网,四川,2026-06,40-45岁,设计/传媒从业者,已婚一孩,未购,已购复盘,1个月内,本人+配偶,无明显影响人,关注宏光MINIEV主要是因为通勤舒适和外观协调，价格在3.58-5.58万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0058,上汽通用五菱,宏光MINIEV,宏光MINIEV,3.58-5.58万,纯电动,轿车,微型,4座,访谈记录,销售反馈模拟,湖北,2026-05,50岁以上,个体经营者,三代同住,流失,初步了解,2周左右,本人,父母,我对宏光MINIEV的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0059,上汽通用五菱,宏光MINIEV,宏光MINIEV,3.58-5.58万,纯电动,轿车,微型,4座,问卷回答,公开论坛/社区讨论,江苏,2026-04,30-35岁,制造业管理岗,未婚/两人家庭,未购,试驾体验,1周内,公司/家庭共同使用者,朋友/同事,选车时把宏光MINIEV和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0060,长安汽车,长安Lumin,长安Lumin,3.79-6.59万,纯电动,轿车,微型,4座,用户评论,车质网,浙江,2026-05,25-30岁,互联网产品/运营,商务+家庭兼用,已购,对比评估,2周左右,本人,孩子,关注长安Lumin主要是因为通勤舒适和外观协调，价格在3.79-6.59万这个区间内比较有吸引力。对比同级别车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0061,长安汽车,长安Lumin,长安Lumin,3.79-6.59万,纯电动,轿车,微型,4座,访谈记录,公开问卷语料模拟,湖南,2026-04,35-40岁,金融/咨询从业者,已婚未育,意向中,价格谈判,1周内,公司/家庭共同使用者,销售顾问,我对长安Lumin的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0062,长安汽车,长安Lumin,长安Lumin,3.79-6.59万,纯电动,轿车,微型,4座,问卷回答,公开网页评论整理,北京,2026-08,45-50岁,企业职员,已婚二孩,已购,流失反馈,2个月以上,家庭共同决策,配偶,选车时把长安Lumin和同价位竞品放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0063,上汽通用五菱,五菱宏光,五菱宏光,4.60-6.09万,纯电动,轿车,微型,4座,用户评论,车质网,江苏,2026-04,40-45岁,私营业主,已婚一孩,流失,已购复盘,1周内,公司/家庭共同使用者,无明显影响人,关注五菱宏光主要是因为通勤舒适和外观协调，价格在4.60-6.09万这个区间内比较有吸引力。对比同级别车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0064,上汽通用五菱,五菱宏光,五菱宏光,4.60-6.09万,纯电动,轿车,微型,4座,访谈记录,公开论坛/社区讨论,山东,2026-08,50岁以上,自由职业者,三代同住,未购,初步了解,2个月以上,家庭共同决策,父母,我对五菱宏光的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0065,上汽通用五菱,五菱宏光,五菱宏光,4.60-6.09万,纯电动,轿车,微型,4座,问卷回答,销售反馈模拟,上海,2026-07,30-35岁,公务员/事业单位,未婚/两人家庭,流失,试驾体验,1-2个月,本人+父母,朋友/同事,选车时把五菱宏光和同价位竞品放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0066,一汽奔腾,奔腾小马,奔腾小马,3.49-4.59万,纯电动,轿车,微型,4座,用户评论,车质网,北京,2026-08,25-30岁,设计/传媒从业者,商务+家庭兼用,意向中,对比评估,2个月以上,家庭共同决策,孩子,关注奔腾小马主要是因为通勤舒适和外观协调，价格在3.49-4.59万这个区间内比较有吸引力。对比同级别车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
