样本ID,品牌,车系,分析对象名称,车型价格范围,价格段,能源形式,车身形式,级别,座位数,地区,调查时间,年龄段,性别,职业,家庭年收入区间,家庭结构,家庭成员,是否有孩,是否有老人同住/常乘坐,当前用车状态,首购/增购/换购,原有车型/品牌,购车预算,购车阶段,决策周期,主要决策人,决策影响人,购车动因,主要使用场景,信息来源,是否试驾,最关注因素,关注理由,主要顾虑,对比车型,最终倾向,是否成交,流失原因,开放题摘要,沟通触点建议,数据性质,拟定依据,参考来源标题,参考来源URL
S002-05,上汽通用五菱,星光L,星光L,11.28-13.58万,10-20万,常规混合动力,SUV,中大型,6座,安徽省,2026-07-12,26-30岁,男,企业职员,20-30万,已婚一孩,1人,是,否,家中已有燃油车,增购,家中已有燃油车,10-20万,初步了解,1-2周,本人+配偶,父母；配偶；车主评价,商务接待；换新能源；品牌升级,接送孩子；城市通勤；多成员家庭出行,朋友/同事推荐；小红书/抖音内容,否,可靠性；价格权益；驾驶质感；安全性,希望同预算下配置和权益更划算,保值率；价格是否值得；售后维修成本,元UP；长安启源Q05,价格合适会买,待定,,受访者关注可靠性，主要用于接送孩子；同时对保值率仍有疑问，决策中会对比元UP；长安启源Q05。,先围绕接送孩子场景切入，再把可靠性转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S002-06,上汽通用五菱,星光L,星光L,11.28-13.58万,10-20万,常规混合动力,SUV,中大型,6座,重庆市,2026-07-05,36-40岁,女,企业职员,20-30万,已婚无孩,3人,否,否,无车,首购,无车,10-20万,已购/用车复盘,1-2个月,本人+配偶,配偶；KOL/博主；朋友/同事,通勤代步；品牌升级；换新能源,多成员家庭出行；接送孩子；长途自驾,车主群/社群讨论；KOL评测；品牌直营店/4S店,是,空间舒适；可靠性；保值率；驾驶质感,希望兼顾家人乘坐和周末出行,保养维修费用；价格是否值得；油耗是否偏高,长安启源Q05；小鹏MONA L03；元UP,倾向本品,待定,,受访者关注空间舒适，主要用于多成员家庭出行；同时对保养维修费用仍有疑问，决策中会对比长安启源Q05；小鹏MONA L03；元UP。,先围绕多成员家庭出行场景切入，再把空间舒适转化为可感知体验；对保养维修费用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S002-07,上汽通用五菱,星光L,星光L,11.28-13.58万,10-20万,常规混合动力,SUV,中大型,6座,山东省,2026-08-17,31-35岁,不便透露,公务员/事业单位,20-30万,已婚二孩及以上,4人,是,是,无车,首购,无车,10-20万,初步了解,2周-1个月,家庭共同决策,子女；父母；车主评价,商务接待；家庭出行升级,周末短途；长途自驾,小红书/抖音内容；车主群/社群讨论,是,驾驶质感；品牌认知；可靠性；家庭适配,希望兼顾家人乘坐和周末出行；在意品牌形象和商务/社交场景认可度,车身尺寸是否好开；价格是否值得；竞品是否更强,小鹏MONA L03；元UP,已下订,是,,受访者关注驾驶质感，主要用于周末短途；同时对车身尺寸是否好开仍有疑问，决策中会对比小鹏MONA L03；元UP。,先围绕周末短途场景切入，再把驾驶质感转化为可感知体验；对车身尺寸是否好开需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S002-08,上汽通用五菱,星光L,星光L,11.28-13.58万,10-20万,常规混合动力,SUV,中大型,6座,江苏省,2026-06-15,31-35岁,女,中基层管理者,20-30万,三代同堂,3人,是,是,无车,首购,无车,10-20万,价格谈判,1-2个月,本人+配偶,父母；子女；车主评价,品牌升级；商务接待；家庭出行升级,接送孩子；家庭出行,KOL评测；懂车帝/汽车之家口碑,是,可靠性；安全性；售后服务,希望在预算内获得更稳定的综合体验,第三排舒适性；保养维修费用；车机/智能化是否落后,元UP；长安启源Q05,价格合适会买,待定,,受访者关注可靠性，主要用于接送孩子；同时对第三排舒适性仍有疑问，决策中会对比元UP；长安启源Q05。,先围绕接送孩子场景切入，再把可靠性转化为可感知体验；对第三排舒适性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S003-01,特斯拉,Model Y,Model Y,26.35-31.35万,20-30万,纯电动,SUV,中型,5座,广东省,2026-07-01,36-40岁,男,互联网/科技从业者,30-50万,已婚一孩,3人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,20-40万,初步了解,2周-1个月,本人+配偶,父母；配偶；KOL/博主,低成本出行；家庭出行升级,家庭出行；周末短途,品牌直营店/4S店；KOL评测；车主群/社群讨论,是,价格权益；低使用成本；安全性；空间舒适,希望兼顾家人乘坐和周末出行；希望同预算下配置和权益更划算,续航达成率；价格是否值得；智能化是否稳定,小米SU7；理想L6,倾向本品,待定,,受访者关注价格权益，主要用于家庭出行；同时对续航达成率仍有疑问，决策中会对比小米SU7；理想L6。,先围绕家庭出行场景切入，再把价格权益转化为可感知体验；对续航达成率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S003-02,特斯拉,Model Y,Model Y,26.35-31.35万,20-30万,纯电动,SUV,中型,5座,湖北省,2026-07-21,26-30岁,女,中基层管理者,20-30万,已婚二孩及以上,3人,是,是,无车,首购,无车,20-40万,对比评估,2周-1个月,本人+配偶,配偶；父母；子女,智能化体验；通勤代步,充电便利场景；周末短途；家庭出行,车主群/社群讨论；朋友/同事推荐,是,智能座舱；外观设计；安全性,希望在预算内获得更稳定的综合体验,竞品是否更强；售后维修成本,小米SU7；理想L6,继续比较,待定,,受访者关注智能座舱，主要用于充电便利场景；同时对竞品是否更强仍有疑问，决策中会对比小米SU7；理想L6。,先围绕充电便利场景场景切入，再把智能座舱转化为可感知体验；对竞品是否更强需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S003-03,特斯拉,Model Y,Model Y,26.35-31.35万,20-30万,纯电动,SUV,中型,5座,浙江省,2026-07-20,31-35岁,男,企业职员,30-50万,已婚一孩,3人,是,否,无车,首购,无车,20-40万,初步了解,2周-1个月,家庭共同决策,父母；车主评价,家庭出行升级；低成本出行；换新能源,城市通勤；周末短途；家庭出行,品牌直营店/4S店；朋友/同事推荐；懂车帝/汽车之家口碑,是,外观设计；低使用成本；安全性；保值率,希望在预算内获得更稳定的综合体验,价格是否值得；智能化是否稳定,小米SU7；理想L6；问界M6,已下订,是,,受访者关注外观设计，主要用于城市通勤；同时对价格是否值得仍有疑问，决策中会对比小米SU7；理想L6；问界M6。,先围绕城市通勤场景切入，再把外观设计转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S003-04,特斯拉,Model Y,Model Y,26.35-31.35万,20-30万,纯电动,SUV,中型,5座,陕西省,2026-08-16,26-30岁,女,企业职员,50-80万,恋爱/情侣同住,3人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,20-40万,已购/用车复盘,1-2个月,本人+配偶,KOL/博主；朋友/同事,通勤代步；换新能源,城市通勤；家庭出行,懂车帝/汽车之家口碑；KOL评测；品牌直营店/4S店,是,外观设计；安全性；售后服务,希望在预算内获得更稳定的综合体验,价格是否值得；竞品是否更强,小米SU7；理想L6,倾向本品,待定,,受访者关注外观设计，主要用于城市通勤；同时对价格是否值得仍有疑问，决策中会对比小米SU7；理想L6。,先围绕城市通勤场景切入，再把外观设计转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S003-05,特斯拉,Model Y,Model Y,26.35-31.35万,20-30万,纯电动,SUV,中型,5座,上海市,2026-06-12,36-40岁,男,企业职员,30-50万,已婚一孩,3人,是,否,家中已有燃油车,增购,家中已有燃油车,20-40万,价格谈判,2周-1个月,家庭共同决策,父母；配偶；子女,家庭出行升级；智能化体验；空间升级,周末短途；城市通勤；家庭出行,朋友/同事推荐；小红书/抖音内容；车主群/社群讨论,是,智能座舱；售后服务；安全性；保值率,希望在预算内获得更稳定的综合体验,价格是否值得；售后网络是否成熟,小米SU7；理想L6,已购,是,,受访者关注智能座舱，主要用于周末短途；同时对价格是否值得仍有疑问，决策中会对比小米SU7；理想L6。,先围绕周末短途场景切入，再把智能座舱转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S003-06,特斯拉,Model Y,Model Y,26.35-31.35万,20-30万,纯电动,SUV,中型,5座,浙江省,2026-07-23,31-35岁,男,互联网/科技从业者,30-50万,已婚无孩,2人,否,否,无车,首购,无车,20-40万,对比评估,2周-1个月,本人,KOL/博主；车主评价,空间升级；通勤代步,城市通勤；周末短途,小红书/抖音内容；KOL评测,是,售后服务；智能驾驶；空间舒适；价格权益,希望兼顾家人乘坐和周末出行；希望降低通勤和长途驾驶压力；希望同预算下配置和权益更划算,保值率；补能是否方便,小米SU7；理想L6；问界M6,倾向本品,待定,,受访者关注售后服务，主要用于城市通勤；同时对保值率仍有疑问，决策中会对比小米SU7；理想L6；问界M6。,先围绕城市通勤场景切入，再把售后服务转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S003-07,特斯拉,Model Y,Model Y,26.35-31.35万,20-30万,纯电动,SUV,中型,5座,北京市,2026-06-10,36-40岁,不便透露,企业职员,20-30万,恋爱/情侣同住,2人,否,否,无车,首购,无车,20-40万,已购/用车复盘,2周-1个月,本人,朋友/同事；配偶；KOL/博主,通勤代步；空间升级,充电便利场景；周末短途；家庭出行,品牌直营店/4S店；KOL评测,是,外观设计；保值率；智能驾驶；智能座舱,希望降低通勤和长途驾驶压力,智能化是否稳定；售后网络是否成熟,小米SU7；理想L6,转向竞品,否,竞品智驾更强,受访者关注外观设计，主要用于充电便利场景；同时对智能化是否稳定仍有疑问，决策中会对比小米SU7；理想L6。,先围绕充电便利场景场景切入，再把外观设计转化为可感知体验；对智能化是否稳定需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S003-08,特斯拉,Model Y,Model Y,26.35-31.35万,20-30万,纯电动,SUV,中型,5座,福建省,2026-07-05,26-30岁,不便透露,中基层管理者,20-30万,已婚无孩,2人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,20-40万,对比评估,2个月以上,本人,KOL/博主；配偶；车主评价,智能化体验；空间升级,家庭出行；周末短途；城市通勤,车主群/社群讨论；小红书/抖音内容,是,保值率；低使用成本；售后服务；空间舒适,希望兼顾家人乘坐和周末出行,智能化是否稳定；竞品是否更强；价格是否值得,小米SU7；理想L6,继续比较,待定,,受访者关注保值率，主要用于家庭出行；同时对智能化是否稳定仍有疑问，决策中会对比小米SU7；理想L6。,先围绕家庭出行场景切入，再把保值率转化为可感知体验；对智能化是否稳定需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
